"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"152";"1203";"12151";"70.599998474";\N;"0.9771509767";"57.581298828";"2004-11-20";"11:30:00"
"153";"1203";"12152";"55.099998474";\N;"3.2202498913";"70.786399841";"2004-11-20";"09:40:00"
"154";"1203";"12153";"25.5";\N;"10.964900017";"4.7747898102";"2004-11-22";"09:40:00"
"155";"1203";"12154";"33.599998474";\N;"4.1718101501";"6.279489994";"2004-11-21";"13:50:00"
"156";"1203";"12155";"10.5";\N;"1.8658200502";"3.6436600685";"2004-11-21";"10:12:00"
"157";"1203";"12156";"20.600000381";\N;"1.5070199966";"3.429019928";"2004-11-21";"12:30:00"
"158";"1203";"12157";"3";\N;"8.4750099182";"17.22879982";"2004-11-23";"12:35:00"
"159";"1203";"12158";"5";\N;"1.0649399757";"9.6764297485";"2004-11-23";"14:40:00"
"160";"1203";"12159";"0.5";\N;"1.045320034";"9.7491798401";"2004-11-23";"17:00:00"
"161";"1206";"12160";"1";\N;"0";"3.2962501049";"2005-03-22";"13:00:00"
"162";"1206";"12161";"77";\N;"5.3683099747";"15.155400276";"2005-03-20";"12:15:00"
"163";"1206";"12162";"60";\N;"9.3187904358";"12.334899902";"2005-03-21";"11:00:00"
"164";"1206";"12163";"31";\N;"5.7218198776";"27.113199234";"2005-03-21";"09:44:00"
"165";"1206";"12164";"41";\N;"13.855099678";"37.959701538";"2005-03-21";"12:55:00"
"166";"1206";"12165";"16";\N;"3.0145900249";"12.479700089";"2005-03-21";"14:30:00"
"167";"1206";"12166";"27";\N;"3.6274299622";"13.764399529";"2005-03-21";"16:10:00"
"168";"1206";"12167";"7.8000001907";\N;"9.9849901199";"18.589799881";"2005-03-19";"14:30:00"
"169";"1206";"12168";"11.399999619";\N;"3.8677198887";"23.861600876";"2005-03-19";"15:40:00"
"170";"1206";"12159";"1";\N;"0.0055209999";"0.7688210011";"2005-03-19";\N
"171";"1209";"12150";"1.5";\N;"0.0999206975";"8.9138698578";"2005-08-26";"12:45:00"
"172";"1209";"12169";"80.800003052";\N;"0.5130310059";"6.253660202";"2005-08-25";"15:40:00"
"173";"1209";"12170";"60";\N;"1.5761400461";"5.3890500069";"2005-08-25";"17:10:00"
"174";"1209";"12171";"34.700000763";\N;"0.1605979949";"4.9462099075";"2005-08-28";"10:00:00"
"175";"1209";"12179";"29.299999237";\N;"-0.00342944";"3.7781999111";"2005-08-28";"10:33:00"
"176";"1209";"12180";"30";\N;"0.1499599963";"3.8875598907";"2005-08-28";"11:11:00"
"177";"1209";"12172";"29";\N;"1.7798800468";"1.9793200493";"2005-08-26";"08:00:00"
"178";"1209";"12173";"36";\N;"-1.062409997";"4.1978797913";"2005-08-27";"14:30:00"
"179";"1209";"12174";"13.399999619";\N;"0.8108720183";"7.2969698906";"2005-08-27";"13:07:00"
"180";"1209";"12175";"22.799999237";\N;"0.0494825989";"5.2392201424";"2005-08-27";"11:25:00"
"181";"1209";"12176";"6.4000000954";\N;"0.2493450046";"5.227230072";"2005-08-27";"10:08:00"
"182";"1209";"12177";"10.399999619";\N;"0.2563880086";"5.1675000191";"2005-08-27";"08:40:00"
"183";"1209";"12178";"1";\N;"0.7721809745";"14.102000237";"2005-08-25";"11:05:00"
"184";"1304";"13119";"0.8000000119";\N;"0.2190539986";"107.39399719";"2004-11-19";"16:05:00"
"185";"1304";"13119";"0.8000000119";\N;"0.2480590045";"126.69599915";"2004-11-19";"16:05:00"
"186";"1304";"13120";"69.5";\N;"1.0723899603";"26.789499283";"2004-11-18";"10:30:00"
"187";"1304";"13121";"60";\N;"0.1812680066";"55.651699066";"2004-11-18";"13:20:00"
"188";"1304";"13122";"40.5";\N;"0.7679110169";"38.476200104";"2004-11-16";"11:45:00"
"189";"1304";"13123";"27.399999619";\N;"2.1071801186";"38.297199249";"2004-11-18";"14:30:00"
"190";"1304";"13124";"44";\N;"0.0712893978";"11.146100044";"2004-11-16";"13:30:00"
"191";"1304";"13125";"23.600000381";\N;"4.3198099136";"25.093200684";"2004-11-16";"16:47:00"
"192";"1304";"13126";"30.5";\N;"0.0824830011";"15.754400253";"2004-11-16";"15:30:00"
"193";"1304";"13126";"30.5";\N;"2.9403600693";"50.674800873";"2004-11-16";"15:30:00"
"194";"1304";"13127";"11.600000381";\N;"-0.867497027";"46.774398804";"2004-11-17";"16:30:00"
