"idVariaveisFisicasQuimicasDaAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"profundidade";"secchi";"batimetria";"F";"Cl";"NNO3";"PPO43";"SSO42";"Li";"Na";"NNH4";"K";"Mg";"Ca";"clorofila";"feofitina";"turbidez";"NT";"PT";"TDC"
"98";"1004";"10078";"2003-11-26";\N;"12";\N;"16.299999237";"93.435501099";"0.1919150054";"15.56649971";"44.17029953";"56.173301697";"2.8665599823";"3.37458992";"391.51098633";"1.4784300327";"2.3479800224";"5.3805499077";\N;\N;"2.8099999428";\N;\N;\N
"99";"1007";"10099";"2004-03-24";\N;"0";\N;"2.5";"14.800000191";"1.1271300316";"5.3139801025";"0";"20.111099243";"0.001";"0.2529999912";"0.0089999996";"0.1609999985";"0.6039999723";"0.9559999704";"2.1434900761";"1.1856199503";\N;\N;\N;\N
"100";"1010";"10099";"2004-07-21";\N;"0";\N;"2";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"2.6525700092";"1.1641800404";\N;"0.0483000018";"18.935499191";"6.4930000305"
"101";"1007";"10100";"2004-03-23";\N;"0";"4.5";"17.5";"12.800000191";"0.9471250176";"0";"0";"14.050499916";"0.0024069301";"0.4245930016";"0";"0.4550530016";"0.5454549789";"1.3922599554";"1.9559299946";"0.8198840022";\N;\N;\N;\N
"102";"1007";"10100";"2004-03-23";\N;"16";\N;"17.5";"11.942899704";"0.7971249819";"2.4537599087";"0";"3.747469902";"0.0024069301";"0.1968819946";"78.166702271";"0.1833419949";"0.3118180037";"0.6420980096";\N;\N;\N;\N;\N;\N
"103";"1007";"10101";"2004-03-23";\N;"0";"4";"18.700000763";"15.657099724";"0.6871250272";"0";"0";"9.1010103226";"0.0024069301";"0.3492729962";"0";"0.3864910007";"0.525454998";"1.300459981";"1.8621599674";"0.4353959858";\N;\N;\N;\N
"104";"1007";"10101";"2004-03-23";\N;"16";\N;"18.700000763";"97.657096863";"0.7733749747";"0";"0";"14.959600449";"0.0024069301";"0.2284110039";"0";"0.1833419949";"0.3054549992";"0.6211150289";\N;\N;\N;\N;\N;\N
"105";"1010";"10101";"2004-07-19";\N;"0";"2.9000000954";"17.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"4.7654299736";"1.2363300323";\N;"0.4830000103";"12.548399925";"6.3979997635"
"106";"1010";"10101";"2004-07-19";\N;"16";\N;"17.5";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"0.3864000142";"22";"6.8790001869"
"107";"1007";"10102";"2004-03-22";\N;"0";"5";"50.200000763";"0";"0.9408749938";"0";"24.408399582";"180.00999451";"0.0024069301";"0.6452969909";"0";"0.1706449986";"0.1572729945";"0.6617699862";"1.5674300194";"0.6269699931";\N;\N;\N;\N
"108";"1007";"10102";"2004-03-22";\N;"48";\N;"50.200000763";"0";"0";"0";"0";"0";"0.0024069301";"0.0952880979";"0";"0.1757239997";"0.1627269983";"0.8283280134";\N;\N;\N;\N;\N;\N
"109";"1010";"10102";"2004-07-20";\N;"0";"4";"47";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"2.9606900215";"1.0904999971";\N;"0.4830000103";"20.25810051";"5.4419999123"
