"idConcentracaoGasAgua";"idCampanha";"idSitio";"dataMedida";"horaMedida";"batimetria";"altura";"replica";"CH4";"CO2"
"208";"810";"8127";"2004-07-13";\N;"2";"20";"1";"0.0029";"0.0669"
"209";"810";"8127";"2004-07-13";\N;"2";"10";"1";"0";"0.063500002"
"210";"810";"8127";"2004-07-13";\N;"2";"5";"1";"0";"0.0656000003"
"211";"810";"8127";"2004-07-13";\N;"2";"0.5";"1";"0";"0.0625"
"212";"810";"8135";"2004-07-13";\N;"28";"20";"3";"0.0388000011";"0.1815000027"
"213";"810";"8135";"2004-07-13";\N;"28";"10";"3";"0.0449000001";"0.2096000016"
"214";"810";"8135";"2004-07-13";\N;"28";"5";"3";"0.0428999998";"0.196600005"
"215";"810";"8135";"2004-07-13";\N;"28";"0.5";"3";"0.0419999994";"0.1955000013"
"216";"810";"8136";"2004-07-12";\N;"30.399999619";"20";"3";"0.0038000001";"0.2108999938"
"217";"810";"8136";"2004-07-12";\N;"30.399999619";"10";"3";"0";"0.2599000037"
"218";"810";"8136";"2004-07-12";\N;"30.399999619";"5";"3";"0";"0.2335000038"
"219";"810";"8136";"2004-07-12";\N;"30.399999619";"0.5";"3";"0.003";"0.1767999977"
"220";"810";"8131";"2004-07-14";\N;"21.200000763";"20";"2";"0.0094999997";"0.0852999985"
"221";"810";"8131";"2004-07-14";\N;"21.200000763";"10";"2";"0.0129000004";"0.1133000031"
"222";"810";"8131";"2004-07-14";\N;"21.200000763";"5";"2";"0.0143999998";"0.1216999963"
"223";"810";"8131";"2004-07-14";\N;"21.200000763";"0.5";"2";"0.0272000004";"0.1688999981"
"224";"810";"8133";"2004-07-16";\N;"13.399999619";"20";"4";"0.0052";"0.1115000024"
"225";"810";"8133";"2004-07-16";\N;"13.399999619";"10";"4";"0.0066";"0.1128999963"
"226";"810";"8133";"2004-07-16";\N;"13.399999619";"5";"4";"0.0044";"0.1270000041"
"227";"810";"8133";"2004-07-16";\N;"13.399999619";"0.5";"4";"0.0035000001";"0.1345999986"
"228";"1004";"10074";"2003-11-26";\N;"16.399999619";"20";"1";"0.126899004";"0.3773890138"
