"idBolhas";"idCampanha";"idSitio";"profundidade";"nroDeFunis";"volumeColetado";"CO2";"O2";"N2";"CH4";"N2O";"dataMedida";"horaMedida"
"199";"1201";"12024";"5";"3";"38";"0.1000000015";"6.5";"28.399999619";"8.8000001907";\N;"2004-11-26";"09:00:00"
"200";"1201";"12024";"10";"3";"0";"0";"0";"0";"0";"0";"2004-11-26";"08:55:00"
"201";"1201";"12024";"20";"2";"0";"0";"0";"0";"0";"0";"2004-11-26";"08:50:00"
"202";"1204";"12025";"5";"3";"0";"0";"0";"0";"0";"0";"2005-03-18";"11:05:00"
"203";"1204";"12025";"10";"2";"0";"0";"0";"0";"0";"0";"2005-03-18";"11:09:00"
"204";"1204";"12025";"21";"2";"0";"0";"0";"0";"0";"0";"2005-03-18";"11:11:00"
"205";"1204";"12026";"5";"3";"0";"0";"0";"0";"0";"0";"2005-03-18";"11:42:00"
"206";"1204";"12026";"10";"3";"0";"0";"0";"0";"0";"0";"2005-03-18";"11:38:00"
"207";"1204";"12026";"20";"2";"0";"0";"0";"0";"0";"0";"2005-03-18";"11:35:00"
"208";"1204";"12027";"5";"3";"0";"0";"0";"0";"0";"0";"2005-03-19";"13:41:00"
"209";"1204";"12027";"10";"3";"0";"0";"0";"0";"0";"0";"2005-03-19";"13:38:00"
"210";"1204";"12027";"20";"2";"0";"0";"0";"0";"0";"0";"2005-03-19";"13:35:00"
"211";"1204";"12028";"5";"3";"0";"0";"0";"0";"0";"0";"2005-03-19";"14:00:00"
"212";"1204";"12028";"10";"2";"0";"0";"0";"0";"0";"0";"2005-03-19";"13:57:00"
"213";"1204";"12028";"20";"2";"0";"0";"0";"0";"0";"0";"2005-03-19";"13:55:00"
"214";"1204";"12029";"5";"3";"59";"0.0905999988";"8.0399999619";"35.740001678";"7.3499999046";"0.0109999999";"2005-03-21";"10:15:00"
"215";"1204";"12029";"10";"2";"0";"0";"0";"0";"0";"0";"2005-03-21";"10:18:00"
"216";"1204";"12029";"20";"2";"0";"0";"0";"0";"0";"0";"2005-03-21";"10:21:00"
"217";"1204";"12030";"5";"3";"45";"0.400000006";"2.2899999619";"26.159999847";"7.8600001335";\N;"2005-03-21";"09:50:00"
"218";"1204";"12030";"10";"2";"48";"0.4300000072";"5.8000001907";"33.509998322";"14.880000114";\N;"2005-03-21";"09:53:00"
