"idIonsNaAguaIntersticialDoSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"F";"Cl";"NO2";"Br";"NO3";"PO4";"SO4";"Na";"NH4";"K";"Mg";"Ca";"acetato";"dataMedida";"horaMedida"
"124";"202";"2063";"3.5";"6.5999999046";\N;\N;\N;\N;"9.0710000992";\N;"131.8809967";\N;"3512.3898926";\N;\N;\N;"4.5409998894";"2006-11-21";"10:55:00"
"125";"202";"2064";"0.5";"21.600000381";\N;\N;\N;\N;"130.72399902";\N;"1589.8699951";\N;"3855.8400879";\N;\N;\N;"11.095999718";"2006-11-21";"09:18:00"
"126";"202";"2064";"1.5";"21.600000381";\N;\N;\N;\N;"20.025299072";\N;"424.86898804";\N;"6387.5800781";\N;\N;\N;"7.3030500412";"2006-11-21";"09:18:00"
"127";"202";"2064";"2.5";"21.600000381";\N;\N;\N;\N;"165.14599609";\N;"207.71000671";\N;"6655.3701172";\N;\N;\N;"6.3371801376";"2006-11-21";"09:18:00"
"128";"202";"2064";"3.5";"21.600000381";\N;\N;\N;\N;"13.736100197";\N;"202.81799316";\N;"9565.4296875";\N;\N;\N;"9.9251098633";"2006-11-21";"09:18:00"
"129";"202";"2065";"0.5";"1.2000000477";\N;\N;\N;\N;"148.01100159";\N;"4071.5400391";\N;"702.47802734";\N;\N;\N;"4.0817499161";"2006-11-21";"10:24:00"
"130";"202";"2065";"1.5";"1.2000000477";\N;\N;\N;\N;"17.322200775";\N;"5276.1201172";\N;"948.01202393";\N;\N;\N;"7.1695199013";"2006-11-21";"10:24:00"
"131";"202";"2065";"2.5";"1.2000000477";\N;\N;\N;\N;"14.847900391";\N;"5630.8300781";\N;"1304.8100586";\N;\N;\N;"5.746940136";"2006-11-21";"10:24:00"
"132";"202";"2065";"3.5";"1.2000000477";\N;\N;\N;\N;"84.426902771";\N;"4424.4599609";\N;"2339.6201172";\N;\N;\N;"8.2416801453";"2006-11-21";"10:24:00"
"133";"204";"2066";"0.5";"40";\N;\N;\N;\N;"27.333599091";\N;"530.31298828";\N;"3481.9799805";\N;\N;\N;"6.3839302063";"2007-03-28";"09:42:00"
"134";"204";"2066";"1.5";"40";\N;\N;\N;\N;"22.603099823";\N;"348.00500488";\N;"4089.5100098";\N;\N;\N;"14.16590023";"2007-03-28";"09:42:00"
"135";"204";"2066";"2.5";"40";\N;\N;\N;\N;"87.555198669";\N;"336.24200439";\N;"4908.4501953";\N;\N;\N;"17.232500076";"2007-03-28";"09:42:00"
"136";"204";"2066";"3.5";"40";\N;\N;\N;\N;"76.061302185";\N;"362.51901245";\N;"7265.1201172";\N;\N;\N;"8.3269395828";"2007-03-28";"09:42:00"
"137";"206";"2066";"0.5";"31.100000381";\N;\N;\N;\N;"8.9129495621";\N;"1707.1400146";\N;"3852.8701172";\N;\N;\N;"3.4276599884";"2007-07-25";"09:44:00"
"138";"206";"2066";"1.5";"31.100000381";\N;\N;\N;\N;"8.8475503922";\N;"650.68103027";\N;"3852.8701172";\N;\N;\N;"11.879400253";"2007-07-25";"09:44:00"
"139";"206";"2066";"2.5";"31.100000381";\N;\N;\N;\N;"10.368100166";\N;"383.73199463";\N;"4734.8701172";\N;\N;\N;"12.783200264";"2007-07-25";"09:44:00"
"140";"206";"2066";"3.5";"31.100000381";\N;\N;\N;\N;"8.8475503922";\N;"270.20401001";\N;"5861.6499023";\N;\N;\N;"8.6707801819";"2007-07-25";"09:44:00"
"141";"204";"2067";"0.5";"55";\N;\N;\N;\N;"33.933498383";\N;"592.67498779";\N;"5883.9101562";\N;\N;\N;"21.387599945";"2007-03-28";"08:57:00"
