"idMedidaCampoSuperficie";"idCampanha";"idSitio";"secchi";"tempAgua";"condutividade";"DO";"pH";"turbidez";"materialEmSuspensao";"dataMedida";"horaMedida"
"71";"1208";"12138";\N;"23.200000763";"1171.5";"4.814499855";"7.4200000763";"7.4200000763";"2";"2005-08-27";\N
"72";"1202";"12139";"3.2000000477";"28.200000763";"225.699996948";"6.4264001846";"7.5500001907";\N;"1.2000000476837158";"2004-11-20";\N
"73";"1205";"12139";"3.4000000954";"29.200000763";"255.600006104";"6.1510000229";"7.4800000191";"7.4800000191";"2.5848500728607178";"2005-03-19";\N
"74";"1208";"12139";"3.2999999523";"24.100000381";"996.5";"6.7909002304";"7.3200001717";"7.3200001717";"4";"2005-08-27";\N
"75";"1202";"12140";\N;"26.299999237";\N;"6.3372998238";"7.2800002098";"7.2800002098";"4.800000190734863";"2004-11-20";\N
"76";"1205";"12140";"3.0999999046";"31.700000763";"260.200012207";"6.6532001495";"7.6599998474";"7.6599998474";"1.9848500490188599";"2005-03-19";\N
"77";"1208";"12140";"2.5";"24.200000763";"747.099975586";"6.9447999001";"7.3299999237";"7.3299999237";"3.799999952316284";"2005-08-27";\N
"78";"1202";"12141";\N;"28.799999237";\N;"5.5353999138";"7.4200000763";"7.4200000763";"82";"2004-11-20";\N
"79";"1205";"12141";"0.200000003";"25.100000381";"200.399993896";"8.8482999802";"6.9000000954";"6.9000000954";"238.21200561523438";"2005-03-19";\N
"80";"1208";"12141";\N;"24.399999619";"1158.09997559";"6.8800001144";"7.5399999619";"7.5399999619";"3.5999999046325684";"2005-08-27";\N
"81";"1202";"12142";\N;"27";\N;"4.8955001831";"7.5";"7.5";"2.200000047683716";"2004-11-20";\N
"82";"1205";"12142";"0.5";"26.700000763";"205.300003052";"4.4499998093";"6.8499999046";"6.8499999046";"12.36970043182373";"2005-03-19";\N
"83";"1208";"12142";"3.5";"23.700000763";"546.299987793";"6.3130002022";"7.3699998856";"7.3699998856";"2.200000047683716";"2005-08-26";\N
"84";"1202";"12143";\N;"23.700000763";\N;"4.1503000259";"7.25";"7.25";"1.399999976158142";"2004-11-20";\N
"85";"1205";"12143";"0.200000003";"24.5";"251.399993896";"6.0862002373";"6.7800002098";"6.7800002098";"115.7699966430664";"2005-03-19";\N
"86";"1208";"12143";"4.0999999046";"23.299999237";"582.799987793";"6.2562999725";"7.5300002098";"7.5300002098";"1.2000000476837158";"2005-08-26";\N
"87";"1205";"12146";"3.5";"28.600000381";"232.399993896";"5.6325998306";"7.4800000191";"7.4800000191";"4.384850025177002";"2005-03-20";\N
"88";"1208";"12146";"5";"23.200000763";"252.800003052";"5.1627998352";"7.5500001907";"7.5500001907";"2.799999952316284";"2005-08-25";\N
"89";"1205";"12148";"1.7000000477";"29.399999619";"271.399993896";"5.8755998611";"7.5300002098";"7.5300002098";"28.769699096679688";"2005-03-19";\N
"90";"1208";"12148";"3.2999999523";"25.100000381";"582.799987793";"6.3453998566";"7.5300002098";"7.5300002098";"7";"2005-08-26";\N
"91";"1306";"13060";\N;"27.100000381";"31.1000003815";"6.4183001518";"7.2300000191";"24.799999237";"12";"2005-03-15";\N
"92";"1310";"13060";\N;"23.700000763";"32.5999984741";"4.6767997742";"7.7199997902";"4";"0.4000000059604645";"2005-08-24";\N
"93";"1302";"13099";"0.200000003";"26.200000763";"41.0999984741";"6.1185998917";"7.4499998093";"52";"33.20000076293945";"2004-11-16";\N
"94";"1306";"13099";"0.200000003";"26.899999619";"32.4000015259";"4.4176001549";"7.0399999619";"58.799999237";"36.400001525878906";"2005-03-15";\N
"95";"1310";"13099";"0.200000003";"23.100000381";"38";"5.8270001411";"7.4600000381";"50";"63";"2005-08-23";\N
"96";"1302";"13100";"0.5";"27.100000381";"43.0999984741";"5.6893000603";"7.4699997902";"24.399999619";"5.199999809265137";"2004-11-16";\N
"97";"1306";"13100";"0.200000003";"27.100000381";"29.5";"6.7017998695";"7.3000001907";"27.5";"27.600000381469727";"2005-03-17";\N
"98";"1310";"13100";"1.1000000238";"24.399999619";"37.4000015259";"5.3491001129";"7.5100002289";"8.6000003815";"10";"2005-08-23";\N
"99";"1302";"13101";"0.6000000238";"29.600000381";"43.5";"6.6694002151";"7.3600001335";"17.700000763";"20";"2004-11-17";\N
"100";"1306";"13101";"0.400000006";"28.700000763";"30.8999996185";"4.636300087";"7.2300000191";"18.399999619";"2.200000047683716";"2005-03-15";\N
"101";"1310";"13101";"2";"23.200000763";"33.4000015259";"5.0980000496";"7.4600000381";"2.7999999523";"9.600000381469727";"2005-08-22";\N
"102";"1302";"13102";"1";"27.799999237";"44.2000007629";"6.2400999069";"7.6900000572";"12.600000381";"4.599999904632568";"2004-11-17";\N
"103";"1306";"13102";"0.5";"28.299999237";"30.5";"4.2880001068";"7.1199998856";"24.200000763";"4";"2005-03-15";\N
"104";"1310";"13102";"2.7999999523";"23";"33.5";"5.3004999161";"7.5300002098";"2.4000000954";"6.199999809265137";"2005-08-22";\N
"105";"1302";"13103";"1.7000000477";"28.100000381";"43.4000015259";"5.4908499718";"7.6500000954";"79";"2.4000000953674316";"2004-11-18";\N
"106";"1306";"13103";"0.8000000119";"28.700000763";"32.2000007629";"4.3933000565";"7.3899998665";"16.700000763";"4";"2005-03-15";\N
"107";"1310";"13103";"3.2000000477";"23.299999237";"32.2000007629";"5.0170001984";"7.4699997902";"2.2000000477";"2.799999952316284";"2005-08-22";\N
"108";"1302";"13104";\N;"27";"43.0999984741";"5.608300209";"7.5500001907";"7.3200001717";"3.4000000953674316";"2004-11-17";\N
"109";"1306";"13104";"0.349999994";"27.299999237";"29.3999996185";"5.8998999596";"7";"32.400001526";"19.200000762939453";"2005-03-17";\N
"110";"1310";"13104";\N;"22.899999619";"35";"4.320400238";\N;"2.5";"7";"2005-08-24";\N
"111";"1302";"13105";"0.1000000015";"26.700000763";"188.399993896";"5.2761998177";"7.9400000572";"13.600000381";"103.23300170898438";"2004-11-18";\N
"112";"1306";"13105";"0.3000000119";"26.600000381";"18.2999992371";"5.1465997696";"6.9499998093";"22";"42.400001525878906";"2005-03-14";\N
"113";"1302";"13106";"0.1000000015";"24.799999237";"20.5";"7.0824999809";"7.2399997711";"93.5";"193.5";"2004-11-18";\N
"114";"1306";"13106";"0.3000000119";"27.299999237";"18.5";"5.6406998634";"6.8299999237";"23.299999237";"14.399999618530273";"2005-03-14";\N
"115";"1302";"13107";"0.1000000015";"23.100000381";"25.8999996185";"9.3221502304";"7.1199998856";"225";"8";"2004-11-17";\N
"116";"1306";"13107";"0.6000000238";"29.299999237";"25.1000003815";"4.9278998375";"7.1300001144";"14.199999809";"8.199999809265137";"2005-03-14";\N
"117";"1310";"13107";"1.1000000238";"24.799999237";"32";"5.9161000252";"7.5";"5.5999999046";"10";"2005-08-23";\N
"118";"1302";"13108";"1.1000000238";"26.899999619";"44.0999984741";"4.7982997894";"7.4400000572";"8.9399995804";"4.400000095367432";"2004-11-16";\N
"119";"1306";"13108";"0.6999999881";"28.100000381";"31.5";"4.9116997719";"7.0900001526";"14.800000191";"2.4000000953674316";"2005-03-14";\N
