"idFluxoBolhasInpe";"idCampanha";"idSitio";"profundidade";"CH4";"CH4_desvioPadrao";"CH4_amostras";"dataMedida";"horaMedida"
"193";"1307";"13118";"5";"730.13500977";"487.606994628906";"7";"2005-08-23";"23:00:00"
"194";"1307";"13118";"5";"1065.75";"1096.59997558594";"7";"2005-08-24";"00:00:00"
"195";"1307";"13118";"5";"528.42297363";"385.049011230469";"7";"2005-08-24";"01:00:00"
"196";"1307";"13118";"5";"1923.2600098";"1819.17004394531";"7";"2005-08-24";"02:00:00"
"197";"1307";"13118";"5";"709.88897705";"259.186004638672";"7";"2005-08-24";"03:00:00"
"198";"1307";"13118";"5";"915.28302002";"292.627990722656";"7";"2005-08-24";"04:00:00"
"199";"1307";"13118";"5";"692.01800537";"124.910003662109";"7";"2005-08-24";"05:00:00"
"200";"1307";"13118";"5";"507.23400879";"162.47200012207";"7";"2005-08-24";"06:00:00"
"201";"1307";"13118";"5";"935.49200439";"552.429992675781";"7";"2005-08-24";"07:00:00"
"202";"1307";"13118";"5";"420.65200806";"133.630996704102";"7";"2005-08-24";"08:00:00"
"203";"1307";"13118";"5";"839.27001953";"508.968994140625";"7";"2005-08-24";"09:00:00"
"204";"1307";"13118";"5";"346.23300171";"131.5";"7";"2005-08-24";"10:00:00"
"205";"1307";"13118";"5";"512.11700439";"255.820007324219";"7";"2005-08-24";"11:00:00"
"206";"1307";"13118";"5";"676.93103027";"240.149002075195";"7";"2005-08-24";"12:00:00"
"207";"1307";"13118";"5";"1900.9100342";"1596.85998535156";"7";"2005-08-24";"13:00:00"
"208";"1307";"13118";"5";"982.70501709";"352.289001464844";"7";"2005-08-24";"14:00:00"
"209";"1307";"13118";"5";"612.31500244";"71.2109985351562";"7";"2005-08-24";"15:00:00"
"210";"1307";"13118";"5";"658.21398926";"66.6332015991211";"7";"2005-08-24";"16:00:00"
"211";"1307";"13118";"5";"506.77700806";"63.7896003723145";"7";"2005-08-24";"17:00:00"
"212";"1307";"13118";"5";"476.69299316";"92.4028015136719";"7";"2005-08-24";"18:00:00"
"213";"1307";"13118";"5";"791.21002197";"342.516998291016";"7";"2005-08-24";"19:00:00"
"214";"1307";"13118";"5";"550.6619873";"198.798004150391";"7";"2005-08-24";"20:00:00"
