"idCampoPorTabela";"idTabela";"nome";"rotulo";"unidade";"descricao";"principal";"ordem";"tipo"
"250";"29";"ph";"pH";\N;\N;"sim";"7";"number"
"251";"29";"turbidez";"Turbidez";"NTU";\N;"sim";"8";"number"
"252";"29";"materialEmSuspensao";"Material em suspensão";"mg/L";\N;"sim";"9";"number"
"253";"29";"doc";"DOC";"mg/L";"Carbono orgânico dissolvido";"sim";"10";"number"
"254";"29";"poc";"POC";"mg/L";"Carbono orgânico particulado";"sim";"11";"number"
"255";"29";"toc";"TOC";"mg/L";"Carbono orgânico total";"sim";"12";"number"
"256";"29";"dic";"DIC";"mg/L";"Carbono inorgânico dissolvido";"sim";"13";"number"
"257";"29";"nt";"NT";"uM";"Nitrogênio";"sim";"14";"number"
"258";"29";"pt";"PT";"uM";"Fósforo Total";"sim";"15";"number"
"259";"29";"densidadeBacteria";"Densidade bactéria";"10^6 cels/mL";\N;"sim";"16";"number"
"260";"29";"biomassaBacteria";"Biomassa bactéria";"ugC/L";\N;"sim";"17";"number"
"261";"29";"clorofilaA";"Clorofila";"ugC/L";\N;"sim";"18";"number"
"262";"29";"biomassaCarbonoTotalFito";"Biomassa carbono total fito";"ugC/L";\N;"sim";"19";"number"
"263";"29";"densidadeTotalFito";"Densidade total fito";"ind/mL";\N;"sim";"20";"number"
"264";"29";"biomassaZoo";"Biomassa zoo";"ugC/L";\N;"sim";"21";"number"
"265";"29";"densidadeTotalZoo";"Densidade total zoo";"ind/L";\N;"sim";"22";"number"
"266";"29";"producaoFitoplanctonica";"Produção fitoplanctônica";"mgC/m2/h";\N;"sim";"23";"number"
"267";"29";"carbonoOrganicoExcretado";"Carbono orgânico excretado";"mgC/m2/h";\N;"sim";"24";"number"
"268";"29";"respiracaoFito";"Respiração fito";"mgC/m2/h";\N;"sim";"25";"number"
"269";"29";"producaoBacteriana";"Produção bacteriana";"mgC/m2/h";\N;"sim";"26";"number"
"270";"29";"respiracaoBacteriana";"Respiração bacteriana";"mgC/m2/h";\N;"sim";"27";"number"
"271";"29";"taxaSedimentacao";"Taxa de sedimentação";"g/m2/d";\N;"sim";"28";"number"
"272";"29";"delta13c";"Delta 13C";"por mil";\N;"sim";"29";"number"
"273";"29";"delta15n";"Delta 15N";"por mil";\N;"sim";"30";"number"
"274";"29";"intensidadeLuminosa";"Intensidade luminosa";"uM/cm2/s";\N;"sim";"31";"number"
