"idNutrientesSedimento";"idCampanha";"idSitio";"profundidade";"batimetria";"N2";"PT";"TC";"dataMedida";"horaMedida"
"220";"807";"8129";"3.5";"56";"3.0559899807";"0.4712899923";"63.770000458";"2004-03-16";\N
"221";"807";"8129";"4.5";"56";"5.4597601891";"0.3696770072";"117.80000305";"2004-03-16";\N
"222";"807";"8129";"5.5";"56";"3.5933499336";"0.1762740016";"107.69999695";"2004-03-16";\N
"223";"807";"8130";"0.5";"35.5";"2.1289401054";"0.470968008";"86.38999939";"2004-03-16";\N
"224";"807";"8130";"1.5";"35.5";"2.9288299084";"0.2664520144";"68.319999695";"2004-03-16";\N
"225";"807";"8130";"2.5";"35.5";"2.5760600567";"0.1976449937";"47.25";"2004-03-16";\N
"226";"807";"8130";"3.5";"35.5";"1.9238400459";"0.1216130033";"31.819999695";"2004-03-16";\N
"227";"807";"8130";"4.5";"35.5";"1.5628600121";"0.1683869958";"22.209999084";"2004-03-16";\N
"228";"807";"8131";"0.5";"15";"2.8754999638";"0.5140320063";"34.080001831";"2004-03-18";\N
"229";"807";"8131";"1.5";"15";"2.7893600464";"0.5062900186";"33.979999542";"2004-03-18";\N
"230";"807";"8131";"2.5";"15";"2.7073199749";"0.500805974";"32.189998627";"2004-03-18";\N
"231";"807";"8131";"3.5";"15";"2.7401399612";"0.5037099719";"32.330001831";"2004-03-18";\N
"232";"807";"8131";"4.5";"15";"2.7647500038";"0.5509679914";"33.130001068";"2004-03-18";\N
"233";"810";"8131";"0.5";"21.200000763";"2.8754999638";"0.5579029918";"51.830001831";"2004-07-14";\N
"234";"810";"8131";"1.5";"21.200000763";"2.7893600464";"0.5604839921";"64.555000305";"2004-07-14";\N
"235";"810";"8131";"2.5";"21.200000763";"2.7073199749";"0.5625810027";"59.939998627";"2004-07-14";\N
"236";"810";"8131";"3.5";"21.200000763";"2.7401399612";"0.5511289835";"87.13999939";"2004-07-14";\N
"237";"807";"8132";"0.5";"23";"4.2209601402";"0.5146769881";"55.939998627";"2004-03-18";\N
"238";"807";"8132";"1.5";"23";"4.5163002014";"0.4866130054";"99.730003357";"2004-03-18";\N
